year,month,carrier,carrier_name,AIRPORT,airport_name,arr_flights,arr_del15,arr_cancelled,arr_diverted,arr_delay,def_avg_Delay,aircraft_delay(min/flight),nas_delay(min/flight),weather_delay(min/flight),carrier_delay(min/flight),security_delay(min/flight)
2004,1,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",4052.0,328.0,49.0,2.0,14777.0,2182.021712143793,0.010362539730752959,0.011236577553035034,0.011292848146509174,0.011545764928540439,0.006539980256663376
2004,1,OO,SkyWest Airlines Inc.,PDX,"Portland, OR: Portland International",616.0,96.0,94.0,2.0,4832.0,-752.9782878562069,0.05531968031968033,0.061282467532467536,0.10111317254174397,0.09407467532467532,0.02922077922077922
2004,1,OO,SkyWest Airlines Inc.,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",302.0,100.0,12.0,1.0,5307.0,-1241.9782878562069,0.21909492273730685,0.3576158940397351,0.3110217596972564,0.1291390728476821,0.10264900662251655
2004,1,OO,SkyWest Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",516.0,93.0,4.0,1.0,3484.0,-1121.9782878562069,0.077072152653548,0.06284606866002215,0.07348191214470284,0.07381340949272407,0.055232558139534885
2004,1,OO,SkyWest Airlines Inc.,SAN,"San Diego, CA: San Diego International",653.0,38.0,2.0,1.0,1317.0,-1080.9782878562069,0.07120980091883614,0.05321592649310873,0.03777437468095968,0.040086478695613006,0.0773353751914242
2004,1,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",2862.0,942.0,105.0,4.0,49372.0,4698.021712143793,0.016523775253710484,0.01957870250710778,0.02703004891684137,0.01488217453010295,0.007966457023060796
2004,1,OO,SkyWest Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",315.0,35.0,8.0,1.0,1692.0,-1329.9782878562069,0.12261904761904761,0.10476190476190476,0.23174603174603176,0.16314699792960663,0.06984126984126984
2004,1,OO,SkyWest Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",5729.0,1765.0,289.0,4.0,82232.0,10103.021712143793,0.007507591030020774,0.00941696617154602,0.010526925425094896,0.006931081514631283,0.0050852388433118055
2004,1,RU,ExpressJet Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",3705.0,813.0,81.0,2.0,35892.0,12394.021712143793,0.015263285696067228,0.008106901353790573,0.023150893003348407,0.020282158349811848,0.0057337444847671195
2004,1,RU,ExpressJet Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",4344.0,1014.0,234.0,6.0,60884.0,11896.021712143793,0.012692650712356384,0.013791236401226387,0.021430249106945104,0.014337852658046338,0.005755064456721915
2004,1,RU,ExpressJet Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",6119.0,960.0,33.0,9.0,36889.0,10955.021712143793,0.0075039355442800965,0.0045744990859723075,0.008793742273824368,0.0119309321983229,0.003310174457767961
2004,1,TZ,ATA Airlines d/b/a ATA,LAX,"Los Angeles, CA: Los Angeles International",266.0,74.0,2.0,1.0,5930.0,1720.0217121437931,0.4238945803582471,0.20244315388956655,0.25510204081632654,0.2361354226115467,0.11871784724970322
