year,month,carrier,carrier_name,AIRPORT,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,def_avg_Delay
2004,1,WN,Southwest Airlines Co.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4729.0,605.0,131.93,14.67,129.74,1.83,326.84,109.0,18.0,28072.0,6286.0,957.0,4583.0,173.0,16073.0,14434.021712143793
2004,1,WN,Southwest Airlines Co.,CLE,"Cleveland, OH: Cleveland-Hopkins International",549.0,136.0,27.75,7.9,48.83,0.9,50.63,11.0,1.0,6386.0,1239.0,941.0,1411.0,28.0,2767.0,1128.0217121437931
2004,1,WN,Southwest Airlines Co.,GEG,"Spokane, WA: Spokane International",433.0,87.0,9.78,7.69,16.61,0.83,52.09,20.0,1.0,3286.0,344.0,516.0,433.0,18.0,1975.0,336.02171214379314
2004,1,WN,Southwest Airlines Co.,HOU,"Houston, TX: William P Hobby",4031.0,477.0,94.71,10.67,80.27,2.2,289.15,139.0,4.0,19494.0,3720.0,666.0,2338.0,62.0,12708.0,11069.021712143793
2004,1,WN,Southwest Airlines Co.,ISP,"Islip, NY: Long Island MacArthur",722.0,105.0,33.47,2.91,25.41,0.47,42.75,14.0,2.0,4694.0,1416.0,205.0,928.0,8.0,2137.0,498.02171214379314
2004,1,WN,Southwest Airlines Co.,LAS,"Las Vegas, NV: McCarran International",5469.0,792.0,158.45,11.33,210.05,6.09,406.08,74.0,3.0,29481.0,5646.0,597.0,6172.0,281.0,16785.0,15146.021712143793
2004,1,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",3290.0,459.0,115.38,6.11,97.91,1.7,237.89,90.0,3.0,18091.0,4109.0,801.0,3171.0,40.0,9970.0,8331.021712143793
2004,1,WN,Southwest Airlines Co.,LBB,"Lubbock, TX: Lubbock Preston Smith International",405.0,51.0,9.6,1.0,5.42,0.45,34.53,4.0,1.0,1903.0,342.0,25.0,117.0,10.0,1409.0,-229.97828785620686
2004,1,WN,Southwest Airlines Co.,MCI,"Kansas City, MO: Kansas City International",2009.0,326.0,82.88,11.21,76.25,2.56,153.1,46.0,3.0,13989.0,3677.0,556.0,2281.0,56.0,7419.0,5780.021712143793
2004,1,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",1956.0,287.0,69.74,4.27,67.55,2.37,143.07,11.0,1.0,13785.0,3330.0,493.0,2472.0,105.0,7385.0,5746.021712143793
2004,1,WN,Southwest Airlines Co.,MDW,"Chicago, IL: Chicago Midway International",3835.0,641.0,91.65,55.21,234.68,3.08,256.38,104.0,50.0,33651.0,3914.0,5762.0,10112.0,237.0,13626.0,11987.021712143793
2004,1,WN,Southwest Airlines Co.,OAK,"Oakland, CA: Metropolitan Oakland International",3540.0,428.0,78.55,7.43,75.13,3.71,263.17,74.0,2.0,17597.0,2956.0,720.0,2395.0,107.0,11419.0,9780.021712143793
2004,1,WN,Southwest Airlines Co.,ONT,"Ontario, CA: Ontario International",1634.0,213.0,58.3,0.96,28.97,0.28,124.48,23.0,6.0,7963.0,2072.0,80.0,891.0,6.0,4914.0,3275.021712143793
2004,1,WN,Southwest Airlines Co.,PDX,"Portland, OR: Portland International",1023.0,163.0,23.13,1.27,48.63,1.74,88.23,92.0,16.0,6271.0,1121.0,42.0,1374.0,41.0,3693.0,2054.021712143793
2004,1,WN,Southwest Airlines Co.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5298.0,730.0,161.95,8.88,156.6,6.79,395.78,125.0,4.0,30445.0,6495.0,832.0,4814.0,253.0,18051.0,16412.021712143793
2004,1,WN,Southwest Airlines Co.,RNO,"Reno, NV: Reno/Tahoe International",1237.0,183.0,32.04,1.68,36.75,0.28,112.25,21.0,4.0,7716.0,1161.0,58.0,1097.0,5.0,5395.0,3756.021712143793
2004,1,WN,Southwest Airlines Co.,SAT,"San Antonio, TX: San Antonio International",1325.0,191.0,57.38,2.7,31.0,1.68,98.23,36.0,1.0,7054.0,1900.0,132.0,935.0,33.0,4054.0,2415.021712143793
2004,1,WN,Southwest Airlines Co.,SEA,"Seattle, WA: Seattle/Tacoma International",1101.0,199.0,33.25,6.21,55.73,1.71,102.11,10.0,2.0,9176.0,1530.0,600.0,2368.0,74.0,4604.0,2965.021712143793
2004,1,WN,Southwest Airlines Co.,SLC,"Salt Lake City, UT: Salt Lake City International",1142.0,256.0,77.44,3.79,71.9,2.17,100.7,11.0,1.0,9863.0,3250.0,281.0,2025.0,77.0,4230.0,2591.021712143793
2004,1,WN,Southwest Airlines Co.,SMF,"Sacramento, CA: Sacramento International",2155.0,343.0,70.84,4.12,55.84,4.76,207.44,43.0,6.0,13308.0,2602.0,161.0,1959.0,143.0,8443.0,6804.021712143793
2004,1,WN,Southwest Airlines Co.,STL,"St. Louis, MO: St Louis Lambert International",1678.0,254.0,61.13,10.55,33.76,1.03,147.54,51.0,10.0,10991.0,2504.0,508.0,1168.0,34.0,6777.0,5138.021712143793
2004,1,WN,Southwest Airlines Co.,TPA,"Tampa, FL: Tampa International",1743.0,245.0,39.78,4.12,53.18,0.51,147.41,14.0,2.0,11740.0,1635.0,178.0,2010.0,18.0,7899.0,6260.021712143793
2004,1,WN,Southwest Airlines Co.,TUL,"Tulsa, OK: Tulsa International",614.0,70.0,26.45,2.44,6.3,0.04,34.78,15.0,1.0,2743.0,859.0,106.0,185.0,1.0,1592.0,-46.97828785620686
2004,2,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",13010.0,2721.0,372.93,134.16,1419.45,2.04,792.42,237.0,43.0,136282.0,26872.0,8570.0,53679.0,52.0,47109.0,45470.021712143796
2004,2,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2451.0,419.0,112.97,38.07,157.41,2.0,108.55,35.0,6.0,20718.0,7119.0,2014.0,4822.0,47.0,6716.0,5077.021712143793
2004,2,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1828.0,492.0,95.38,31.44,220.69,0.28,144.21,62.0,2.0,22409.0,5608.0,1696.0,7445.0,7.0,7653.0,6014.021712143793
2004,2,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3380.0,644.0,173.64,44.81,281.9,2.49,141.16,19.0,3.0,31963.0,10216.0,2541.0,10464.0,175.0,8567.0,6928.021712143793
2004,2,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",8112.0,2344.0,206.15,65.41,1586.58,2.38,483.48,332.0,6.0,122319.0,15350.0,4493.0,75431.0,98.0,26947.0,25308.021712143793
2004,2,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",505.0,90.0,25.69,15.06,19.46,0.93,28.86,9.0,2.0,3944.0,1237.0,612.0,776.0,14.0,1305.0,-333.97828785620686
2004,2,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",931.0,215.0,41.81,19.68,121.35,0.63,31.54,26.0,1.0,10619.0,2193.0,1015.0,5801.0,27.0,1583.0,-55.97828785620686
2004,2,AA,American Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",482.0,87.0,24.29,16.08,18.54,1.0,27.09,6.0,1.0,3834.0,1234.0,704.0,579.0,16.0,1301.0,-337.97828785620686
2004,2,AS,Alaska Airlines Inc.,PDX,"Portland, OR: Portland International",1182.0,218.0,51.9,2.0,73.43,6.05,84.62,19.0,1.0,10010.0,2968.0,138.0,1936.0,226.0,4742.0,3103.021712143793
2004,2,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",3597.0,713.0,150.94,3.44,218.21,17.68,322.73,75.0,4.0,32993.0,9022.0,85.0,5709.0,693.0,17484.0,15845.021712143793
