AIRPORT,year,month,arr_flights,arr_del15,arr_cancelled,arr_diverted,arr_delay,def_avg_Delay,aircraft_delay(min/flight),nas_delay(min/flight),weather_delay(min/flight),carrier_delay(min/flight),security_delay(min/flight)
DSM,42249,111,3160.0,858.0,99.0,27.0,50883.0,-11540.544044980348,12.71788440014582,6.549900568397521,13.195041703782076,11.332013539355318,6.454612272677174
DTW,625544,1928,1144191.0,199783.0,21062.0,1851.0,12088527.0,3925564.7524767453,22.05418281469788,13.652560950182203,33.76721887529938,20.716248876329754,16.38949074853432
ECP,10075,28,1111.0,228.0,17.0,7.0,13230.0,-2883.8914392810343,1.543660772877649,0.9707237925542391,1.857391494281285,1.58512703757883,0.7178539577239338
EGE,10046,20,611.0,202.0,30.0,22.0,15357.0,-3262.8914392810343,4.696722801286688,2.6249846858749226,6.37174321290091,3.268461579898924,4.374353222454705
ELM,4015,21,198.0,50.0,7.0,4.0,3306.0,-2282.9565757124137,1.3129748419352048,0.8665096948450228,1.4591241246320918,1.3980225737486633,0.8292372881355932
ELP,108535,377,44810.0,8937.0,261.0,92.0,404185.0,164737.17245576472,4.5266010411034125,2.892615336378898,6.404754463310359,3.691354030266589,3.5341021029541664
EUG,4039,13,924.0,165.0,20.0,6.0,11303.0,-1570.9565757124137,0.21224328584636032,0.19644162986535457,0.3061151593550569,0.36895513600371366,0.42738475277785953
EVV,4017,15,320.0,91.0,11.0,2.0,4193.0,-2370.9565757124137,0.6037997632161318,0.4224652225235328,0.8039130062431531,0.6160269667361826,0.7730227810015045
EWN,2018,1,104.0,33.0,10.0,1.0,2118.0,-806.9782878562069,0.7677543186180422,0.438936851294985,0.7444168734491315,0.6153846153846154,0.4120879120879121
EWR,739732,2393,1069373.0,320936.0,31438.0,4350.0,22546772.0,4659280.990068949,25.64558701356532,21.601907911180955,30.12124757904221,23.286268777938012,16.89627782894407
EYW,6058,4,1152.0,194.0,7.0,3.0,8500.0,-2006.9348635686206,0.43810115818343887,0.2826417148798328,0.6116579786189809,0.326063466172322,0.4965832943658124
FAI,62234,200,11740.0,2718.0,230.0,43.0,129954.0,11101.67307645758,4.3459196443216195,2.551177582082507,4.247898431836924,4.100333337582959,3.0256491491244057
FAR,4022,19,323.0,107.0,14.0,2.0,6193.0,-305.9565757124137,0.7188814531213481,0.5216790456451569,0.45464339581986635,0.6483114225355298,0.3316376107041668
FAT,36150,122,12637.0,2144.0,250.0,31.0,115206.0,19322.39081858827,2.5902632522645597,1.9080058018005697,2.499990365219198,1.9513838933752305,2.068223539968825
FAY,6024,21,552.0,177.0,7.0,5.0,10871.0,-1400.9348635686206,1.0544830103258123,0.8542404662111761,1.0597058857897999,1.0721174306136405,1.1661052239866145
FCA,4031,23,305.0,54.0,4.0,4.0,3896.0,-2338.9565757124137,0.7785293316319931,0.6502901817082408,2.2194548993612084,1.0768848118556378,0.6188200415790185
FLG,12087,54,1015.0,129.0,62.0,7.0,7742.0,-6778.869727137242,2.0841640988263315,1.3093566671076555,2.7941349802927284,2.146844364984076,1.0961180540251858
FLL,790803,2359,475666.0,112464.0,7489.0,1378.0,6678138.0,2225394.5328725325,29.69047090441389,18.281741596128114,35.61427089018992,24.832587833401384,19.43733201502892
FLO,2004,12,63.0,13.0,2.0,1.0,649.0,-1482.9782878562069,0.9274121633672197,0.6385696040868455,0.9244723530437816,0.7758025749030247,0.6984126984126984
FNT,2006,4,253.0,44.0,1.0,2.0,1920.0,-1078.9782878562069,0.1918057829443558,0.0960350790513833,0.372006510113927,0.2103376841249062,0.0632411067193675
FSD,8059,18,591.0,102.0,33.0,5.0,8104.0,-4017.9131514248274,4.073540738562011,1.8719823515724487,2.3942709971625122,2.6394597639575528,2.0887819124273865
FWA,4033,10,595.0,92.0,7.0,3.0,5770.0,-1183.9565757124137,0.49685821758606374,0.3690185686018713,0.618440988347102,0.36280498539724904,0.5445239118423476
GCK,2015,2,56.0,13.0,9.0,1.0,767.0,-1416.9782878562069,1.043233082706767,0.6407214048410063,3.030799475753604,0.9171907756813418,0.3787878787878788
GEG,34143,125,5360.0,1268.0,160.0,43.0,62245.0,10500.36910644448,3.5426145806334777,2.353598679761662,4.790921374644647,2.981085702969755,2.397533960222487
GFK,2019,4,145.0,20.0,5.0,1.0,1430.0,-1265.9782878562069,0.5767743930725221,0.4188621356633095,0.9386973180076628,0.4556650246305418,0.2013047530288909
GJT,6017,20,800.0,145.0,6.0,9.0,8022.0,-3908.9348635686206,0.7344997404155582,0.533120203691401,0.9814259838666026,0.6747570167683362,0.33615528859817156
GNV,4016,2,388.0,75.0,29.0,3.0,4170.0,-2208.9565757124137,0.4408721208748489,0.4830680808408856,0.6719096605561705,0.6830195856013255,0.5689390505789547
GPT,34143,103,2588.0,575.0,73.0,23.0,30812.0,-18407.63089355552,6.92344322101096,4.551656711747617,7.519149247728259,5.863857752921467,3.6879390197685016
GRB,12067,36,1261.0,304.0,50.0,9.0,19835.0,-3867.869727137241,2.0616326792807005,1.7546283407225514,2.8075856425982697,2.258011640402714,3.575016061714741
GRK,14071,53,1255.0,260.0,64.0,9.0,12253.0,-7328.848014993449,2.7923737371439907,2.0426720800971734,2.5705242711437486,2.897776934511192,2.5610608919717204
GRR,58285,173,6546.0,1900.0,181.0,46.0,109633.0,-9688.370347830009,9.18314040194774,5.696797928196058,11.235619078976463,8.350731040345968,6.506459156944665
GSO,42214,147,5109.0,1374.0,169.0,29.0,84473.0,-2735.544044980344,6.629774374390197,4.172308547632338,8.02104724856267,5.659860390197542,3.228379271411522
GSP,56230,186,6445.0,1565.0,196.0,33.0,92477.0,-8207.392059973796,8.313419429659312,5.796080268666246,15.629557296275987,7.815076135108802,4.825569481394683
GTF,2004,12,218.0,55.0,7.0,1.0,2275.0,-1490.9782878562069,0.1697247706422018,0.2626146788990826,0.2209480122324159,0.1280581039755352,0.1055045871559633
GTR,2004,11,108.0,30.0,3.0,1.0,1515.0,-1307.9782878562069,0.465070533355814,0.4889721181856014,0.5021971123666039,0.3631926500143554,0.6759259259259259
HHH,4028,9,254.0,48.0,6.0,2.0,3176.0,-3039.9565757124137,1.9540806419110779,1.008596404733722,1.8162362798315081,1.1560805579665767,1.1731291333101288
HNL,140916,419,149144.0,15826.0,487.0,150.0,739028.0,142785.51985006538,6.544393214471046,3.5279525786466137,5.856574550918752,6.0116722770832745,3.523151977120883
HOU,368030,1171,738514.0,138330.0,13403.0,2563.0,6708997.0,3436459.9733223286,5.015177148849107,2.822087729907074,6.7574556058899,3.7541748280504685,3.081673160622367
HPN,66430,194,9331.0,2663.0,275.0,128.0,182306.0,23944.716500745166,10.050741716326671,6.5920927213773615,10.214000263657965,9.699109440778374,8.766258247793761
HRL,14062,48,1553.0,447.0,53.0,15.0,22156.0,430.1519850065521,1.6804062235855883,1.2792287923059162,2.1588789806220277,1.6780305604910914,0.9912993101697603
HSV,22129,79,2285.0,544.0,36.0,15.0,31925.0,-4578.761166418275,4.50959738253274,2.4646607912338636,4.573287858388072,4.350869827164535,2.115248865042282
HVN,4037,7,155.0,37.0,22.0,3.0,3685.0,-945.9565757124137,3.0667579916575054,1.3673794276203912,3.099572649572649,2.448875702018788,2.083760683760684
HYS,2019,6,100.0,30.0,3.0,1.0,3046.0,-495.97828785620686,0.7261753494282084,0.4211356466876972,1.1449275362318845,2.2844444444444445,0.3125
IAD,335472,1098,340990.0,67934.0,10537.0,715.0,4498372.0,2025010.6259280243,16.264691500884098,10.143586488439212,19.955950574107177,15.604161296892794,10.086650866728538
IAH,794163,2530,1854391.0,328678.0,21327.0,7987.0,18519139.0,6348871.576296837,20.177460307308383,13.887457488519903,25.83675644422199,19.758744605439276,13.377388521061759
ICT,38189,125,3408.0,893.0,89.0,32.0,52064.0,-11635.587469267935,7.524716586174845,4.73446721390971,7.104572446253736,6.486125188670337,3.5416017012195415
IDA,8027,19,970.0,188.0,17.0,19.0,8862.0,-3295.9131514248274,0.8489209121893606,0.9334656032429157,0.9716706171112535,0.7125724386310698,0.5711645016517286
ILM,8036,38,656.0,168.0,10.0,5.0,8871.0,-2888.9131514248274,1.315724733037893,1.0958107724614585,0.987656332084724,1.3396992985807974,1.9114599292295182
IND,152930,422,47853.0,9918.0,813.0,144.0,559483.0,135337.65012292817,11.78562005796537,7.273849482004737,16.08632460653253,9.935045890254173,7.121230240510115
ISP,112473,321,41609.0,7734.0,884.0,214.0,409953.0,113760.21588005238,5.902282085332992,4.586967029498499,7.546160400135192,5.115921240670747,5.097422625375755
ITO,2018,1,508.0,40.0,1.0,2.0,1204.0,-1191.9782878562069,0.0596556786333911,0.0492125984251968,0.0644237652111667,0.0615580268961225,0.0353888348226134
JAC,6034,12,458.0,100.0,10.0,6.0,5618.0,-2346.9348635686206,1.234138740426943,0.5116560649800371,0.8286929620358999,1.217607928552352,0.5608692167966661
JAN,60293,220,5614.0,1356.0,118.0,40.0,75406.0,-16924.348635686216,12.314674225736345,7.192925149022026,13.654887939978721,9.323591417521842,7.553158078982028
JAX,130734,383,25462.0,5811.0,306.0,105.0,329004.0,52247.4112893466,14.625172025673063,8.621528782823686,18.074509790355567,11.08249611763247,11.046759860924983
JFK,925157,2991,1020855.0,251017.0,22837.0,3792.0,17171444.0,5228237.987586185,28.478819924755093,22.66002385770585,34.789523261748926,27.493999365717436,18.904286752748654
JMS,4032,16,161.0,29.0,8.0,11.0,1820.0,-2478.9565757124137,1.398295785302906,0.7419681155843664,2.750620333207551,1.2426616778940398,0.5409826560563467
JNU,90485,318,18267.0,3557.0,241.0,259.0,176560.0,6751.977046470689,6.702261557814436,3.6318203010138066,6.9571615677162635,6.847678469972061,3.2131846254549496
KOA,2019,10,732.0,76.0,1.0,1.0,3114.0,331.02171214379314,0.0651951751599101,0.035691429134052,0.0692573481285294,0.0430736579129246,0.0327868852459016
KTN,30133,109,3096.0,752.0,44.0,62.0,39036.0,-9588.674317843104,4.2661207506498915,2.397800745094137,4.046787196642081,4.27592534130883,3.0821601039323205
